9.8669,3.747,4.0966,9.6105,12.547
9.3405,3.6067,4.2818,10.105,12.111
8.8107,3.4924,4.4867,10.599,11.615
8.2857,3.4027,4.7119,11.085,11.071
7.7726,3.3366,4.9581,11.555,10.493
7.2775,3.2928,5.2258,11.998,9.8917
6.8051,3.2704,5.5156,12.405,9.2798
6.3592,3.2684,5.8281,12.764,8.668
5.9425,3.2862,6.1635,13.065,8.0657
5.5569,3.3231,6.5221,13.298,7.4811
5.2034,3.3787,6.9036,13.454,6.9206
4.8824,3.4526,7.3078,13.525,6.3892
4.5937,3.5448,7.7335,13.507,5.8906
4.3368,3.6551,8.1793,13.398,5.4274
4.1108,3.7836,8.643,13.199,5.0008
3.9146,3.9307,9.1214,12.913,4.6113
3.747,4.0966,9.6105,12.547,4.2589
3.6067,4.2818,10.105,12.111,3.9426
3.4924,4.4867,10.599,11.615,3.6613
3.4027,4.7119,11.085,11.071,3.4135
3.3366,4.9581,11.555,10.493,3.1974
3.2928,5.2258,11.998,9.8917,3.0113
3.2704,5.5156,12.405,9.2798,2.8534
3.2684,5.8281,12.764,8.668,2.7219
3.2862,6.1635,13.065,8.0657,2.615
3.3231,6.5221,13.298,7.4811,2.5311
3.3787,6.9036,13.454,6.9206,2.4688
3.4526,7.3078,13.525,6.3892,2.4267
3.5448,7.7335,13.507,5.8906,2.4037
3.6551,8.1793,13.398,5.4274,2.3986
3.7836,8.643,13.199,5.0008,2.4108
3.9307,9.1214,12.913,4.6113,2.4395
4.0966,9.6105,12.547,4.2589,2.4843
4.2818,10.105,12.111,3.9426,2.5448
4.4867,10.599,11.615,3.6613,2.6209
4.7119,11.085,11.071,3.4135,2.7125
4.9581,11.555,10.493,3.1974,2.8199
5.2258,11.998,9.8917,3.0113,2.9432
5.5156,12.405,9.2798,2.8534,3.083
5.8281,12.764,8.668,2.7219,3.2397
6.1635,13.065,8.0657,2.615,3.4142
6.5221,13.298,7.4811,2.5311,3.6071
6.9036,13.454,6.9206,2.4688,3.8194
7.3078,13.525,6.3892,2.4267,4.0521
7.7335,13.507,5.8906,2.4037,4.3063
8.1793,13.398,5.4274,2.3986,4.5831
8.643,13.199,5.0008,2.4108,4.8836
9.1214,12.913,4.6113,2.4395,5.2089
9.6105,12.547,4.2589,2.4843,5.5601
10.105,12.111,3.9426,2.5448,5.9381
10.599,11.615,3.6613,2.6209,6.3435
11.085,11.071,3.4135,2.7125,6.7767
11.555,10.493,3.1974,2.8199,7.2377
11.998,9.8917,3.0113,2.9432,7.7258
12.405,9.2798,2.8534,3.083,8.2396
12.764,8.668,2.7219,3.2397,8.7768
13.065,8.0657,2.615,3.4142,9.334
13.298,7.4811,2.5311,3.6071,9.9066
13.454,6.9206,2.4688,3.8194,10.488
13.525,6.3892,2.4267,4.0521,11.071
13.507,5.8906,2.4037,4.3063,11.646
13.398,5.4274,2.3986,4.5831,12.202
13.199,5.0008,2.4108,4.8836,12.725
12.913,4.6113,2.4395,5.2089,13.202
12.547,4.2589,2.4843,5.5601,13.619
12.111,3.9426,2.5448,5.9381,13.96
11.615,3.6613,2.6209,6.3435,14.213
11.071,3.4135,2.7125,6.7767,14.365
10.493,3.1974,2.8199,7.2377,14.408
9.8917,3.0113,2.9432,7.7258,14.336
9.2798,2.8534,3.083,8.2396,14.148
8.668,2.7219,3.2397,8.7768,13.847
8.0657,2.615,3.4142,9.334,13.441
7.4811,2.5311,3.6071,9.9066,12.941
6.9206,2.4688,3.8194,10.488,12.36
6.3892,2.4267,4.0521,11.071,11.715
5.8906,2.4037,4.3063,11.646,11.022
5.4274,2.3986,4.5831,12.202,10.299
5.0008,2.4108,4.8836,12.725,9.5609
4.6113,2.4395,5.2089,13.202,8.822
4.2589,2.4843,5.5601,13.619,8.0951
3.9426,2.5448,5.9381,13.96,7.3904
3.6613,2.6209,6.3435,14.213,6.7161
3.4135,2.7125,6.7767,14.365,6.0784
3.1974,2.8199,7.2377,14.408,5.4816
3.0113,2.9432,7.7258,14.336,4.9282
2.8534,3.083,8.2396,14.148,4.4194
2.7219,3.2397,8.7768,13.847,3.9554
2.615,3.4142,9.334,13.441,3.5352
2.5311,3.6071,9.9066,12.941,3.1572
2.4688,3.8194,10.488,12.36,2.8195
2.4267,4.0521,11.071,11.715,2.5197
2.4037,4.3063,11.646,11.022,2.2552
2.3986,4.5831,12.202,10.299,2.0233
2.4108,4.8836,12.725,9.5609,1.8213
2.4395,5.2089,13.202,8.822,1.6467
2.4843,5.5601,13.619,8.0951,1.4969
2.5448,5.9381,13.96,7.3904,1.3697
2.6209,6.3435,14.213,6.7161,1.2627
2.7125,6.7767,14.365,6.0784,1.1742
2.8199,7.2377,14.408,5.4816,1.1021
2.9432,7.7258,14.336,4.9282,1.045
3.083,8.2396,14.148,4.4194,1.0013
3.2397,8.7768,13.847,3.9554,0.96991
3.4142,9.334,13.441,3.5352,0.94971
3.6071,9.9066,12.941,3.1572,0.93979
3.8194,10.488,12.36,2.8195,0.93942
4.0521,11.071,11.715,2.5197,0.94799
4.3063,11.646,11.022,2.2552,0.96506
4.5831,12.202,10.299,2.0233,0.99029
4.8836,12.725,9.5609,1.8213,1.0235
5.2089,13.202,8.822,1.6467,1.0646
5.5601,13.619,8.0951,1.4969,1.1135
5.9381,13.96,7.3904,1.3697,1.1706
6.3435,14.213,6.7161,1.2627,1.2358
6.7767,14.365,6.0784,1.1742,1.3098
7.2377,14.408,5.4816,1.1021,1.3927
7.7258,14.336,4.9282,1.045,1.4853
8.2396,14.148,4.4194,1.0013,1.5882
8.7768,13.847,3.9554,0.96991,1.7021
9.334,13.441,3.5352,0.94971,1.8279
9.9066,12.941,3.1572,0.93979,1.9666
10.488,12.36,2.8195,0.93942,2.1193
11.071,11.715,2.5197,0.94799,2.2872
11.646,11.022,2.2552,0.96506,2.4716
12.202,10.299,2.0233,0.99029,2.6742
12.725,9.5609,1.8213,1.0235,2.8963
13.202,8.822,1.6467,1.0646,3.14
13.619,8.0951,1.4969,1.1135,3.4069
13.96,7.3904,1.3697,1.1706,3.6991
14.213,6.7161,1.2627,1.2358,4.0187
14.365,6.0784,1.1742,1.3098,4.3678
14.408,5.4816,1.1021,1.3927,4.7487
14.336,4.9282,1.045,1.4853,5.1635
14.148,4.4194,1.0013,1.5882,5.6143
13.847,3.9554,0.96991,1.7021,6.103
13.441,3.5352,0.94971,1.8279,6.631
12.941,3.1572,0.93979,1.9666,7.1994
12.36,2.8195,0.93942,2.1193,7.8083
11.715,2.5197,0.94799,2.2872,8.4569
11.022,2.2552,0.96506,2.4716,9.1428
10.299,2.0233,0.99029,2.6742,9.8621
9.5609,1.8213,1.0235,2.8963,10.608
8.822,1.6467,1.0646,3.14,11.373
8.0951,1.4969,1.1135,3.4069,12.144
7.3904,1.3697,1.1706,3.6991,12.906
6.7161,1.2627,1.2358,4.0187,13.641
6.0784,1.1742,1.3098,4.3678,14.327
5.4816,1.1021,1.3927,4.7487,14.941
4.9282,1.045,1.4853,5.1635,15.458
4.4194,1.0013,1.5882,5.6143,15.853
3.9554,0.96991,1.7021,6.103,16.105
3.5352,0.94971,1.8279,6.631,16.197
3.1572,0.93979,1.9666,7.1994,16.117
2.8195,0.93942,2.1193,7.8083,15.861
2.5197,0.94799,2.2872,8.4569,15.435
2.2552,0.96506,2.4716,9.1428,14.851
2.0233,0.99029,2.6742,9.8621,14.129
1.8213,1.0235,2.8963,10.608,13.294
1.6467,1.0646,3.14,11.373,12.372
1.4969,1.1135,3.4069,12.144,11.393
1.3697,1.1706,3.6991,12.906,10.382
1.2627,1.2358,4.0187,13.641,9.3648
1.1742,1.3098,4.3678,14.327,8.3613
1.1021,1.3927,4.7487,14.941,7.3888
1.045,1.4853,5.1635,15.458,6.4603
1.0013,1.5882,5.6143,15.853,5.5849
0.96991,1.7021,6.103,16.105,4.7686
0.94971,1.8279,6.631,16.197,4.0146
0.93979,1.9666,7.1994,16.117,3.3238
0.93942,2.1193,7.8083,15.861,2.695
0.94799,2.2872,8.4569,15.435,2.1259
0.96506,2.4716,9.1428,14.851,1.6134
0.99029,2.6742,9.8621,14.129,1.1533
1.0235,2.8963,10.608,13.294,0.74127
1.0646,3.14,11.373,12.372,0.3728
1.1135,3.4069,12.144,11.393,0.043266
1.1706,3.6991,12.906,10.382,-0.25188
1.2358,4.0187,13.641,9.3648,-0.51702
1.3098,4.3678,14.327,8.3613,-0.75633
1.3927,4.7487,14.941,7.3888,-0.97372
1.4853,5.1635,15.458,6.4603,-1.1729
1.5882,5.6143,15.853,5.5849,-1.3572
1.7021,6.103,16.105,4.7686,-1.5299
1.8279,6.631,16.197,4.0146,-1.6937
1.9666,7.1994,16.117,3.3238,-1.8516
2.1193,7.8083,15.861,2.695,-2.0058
2.2872,8.4569,15.435,2.1259,-2.1587
2.4716,9.1428,14.851,1.6134,-2.3125
2.6742,9.8621,14.129,1.1533,-2.4691
2.8963,10.608,13.294,0.74127,-2.6306
3.14,11.373,12.372,0.3728,-2.7985
3.4069,12.144,11.393,0.043266,-2.9747
3.6991,12.906,10.382,-0.25188,-3.1609
4.0187,13.641,9.3648,-0.51702,-3.3587
4.3678,14.327,8.3613,-0.75633,-3.5696
4.7487,14.941,7.3888,-0.97372,-3.7953
5.1635,15.458,6.4603,-1.1729,-4.0372
5.6143,15.853,5.5849,-1.3572,-4.2969
6.103,16.105,4.7686,-1.5299,-4.5758
6.631,16.197,4.0146,-1.6937,-4.8754
7.1994,16.117,3.3238,-1.8516,-5.1969
7.8083,15.861,2.695,-2.0058,-5.5417
8.4569,15.435,2.1259,-2.1587,-5.9106
9.1428,14.851,1.6134,-2.3125,-6.3044
9.8621,14.129,1.1533,-2.4691,-6.7237
10.608,13.294,0.74127,-2.6306,-7.1685
